wage,exper,union,goodhlth,black,female,married,service,educ,looks
4,38,0,1,0,0,1,0,12,2
9,19,1,1,0,0,1,0,12,3
6,29,1,1,0,0,1,0,12,3
11,35,1,1,1,0,1,0,10,3
4,18,0,1,0,0,1,0,10,3
6,8,1,1,0,0,1,0,13,3
9,20,1,1,0,0,1,0,13,4
6,34,1,1,0,0,1,0,5,2
1,29,0,1,1,0,1,0,5,3
4,8,1,1,0,0,1,0,13,4
3,4,0,1,0,0,0,0,12,3
8,15,1,1,0,0,1,0,12,4
4,6,0,1,0,0,0,0,12,5
6,20,1,1,0,0,0,0,12,3
3,35,1,1,1,0,1,0,8,3
8,44,0,0,0,0,1,0,5,2
4,17,1,1,0,0,1,0,10,5
2,3,0,1,0,0,0,0,13,4
5,40,1,1,0,0,1,0,12,3
5,18,0,1,0,0,1,0,12,4
5,23,1,1,0,0,0,0,12,3
7,10,0,1,0,0,1,0,10,4
7,18,1,1,1,0,0,0,10,3
5,42,1,1,0,0,1,0,12,3
11,38,1,1,0,0,1,0,8,3
3,5,0,1,1,0,0,0,13,4
3,25,0,1,0,0,1,0,8,2
4,26,1,1,0,0,1,0,8,2
8,11,0,1,0,0,1,0,12,3
5,16,0,1,0,0,1,0,10,3
8,40,1,1,0,0,1,0,5,4
5,7,0,1,0,0,1,0,12,4
7,17,0,1,0,0,0,0,12,3
5,44,0,1,0,0,1,0,12,3
3,6,0,0,0,0,1,0,12,3
4,8,0,1,0,0,1,0,12,3
6,31,0,1,0,0,0,0,12,3
7,26,1,1,0,0,1,0,12,3
8,20,1,1,0,0,1,0,10,3
6,22,0,1,0,0,1,0,13,2
10,11,1,1,0,0,1,0,12,3
8,8,0,1,0,0,1,0,13,4
4,40,1,1,0,0,1,0,5,3
26,13,0,1,0,0,1,0,10,3
4,3,0,1,0,0,0,0,12,4
4,10,0,1,0,0,1,0,12,4
6,18,1,1,0,0,1,0,10,3
4,5,0,1,0,1,1,0,12,3
5,16,1,1,1,0,1,0,10,3
8,10,1,1,0,0,1,0,12,3
8,10,1,1,0,0,1,0,12,4
3,3,1,1,0,0,0,0,12,3
6,40,1,1,0,0,0,0,8,3
9,35,0,1,0,0,1,0,12,3
5,28,1,1,0,0,1,0,10,3
5,16,0,1,0,0,1,0,14,3
4,19,0,1,1,0,0,0,12,3
13,11,1,1,0,0,1,0,10,4
5,10,0,1,0,0,1,0,12,2
3,4,1,1,1,0,0,0,12,4
3,2,0,1,1,0,0,0,14,4
5,5,0,1,0,0,0,0,12,3
6,31,1,1,0,0,0,0,10,2
9,28,1,1,0,0,1,0,14,3
4,9,1,1,0,0,1,0,10,3
4,12,0,1,0,0,1,0,13,3
10,17,0,1,0,0,1,0,13,3
5,37,0,1,1,0,1,0,13,3
6,35,1,1,0,0,1,0,8,2
8,35,1,1,0,0,1,0,12,3
8,10,1,1,0,0,1,0,13,4
6,42,1,0,0,0,1,0,12,3
7,27,1,1,0,0,0,0,12,3
6,5,1,1,0,0,1,0,13,3
6,5,1,1,0,1,0,0,12,3
2,3,0,1,0,0,0,0,12,3
4,37,0,0,1,0,0,0,5,3
7,14,0,1,0,0,0,0,12,3
5,21,0,1,0,0,1,0,13,3
6,7,1,1,0,0,1,0,10,3
7,27,1,1,0,0,1,0,12,3
5,1,0,1,0,0,0,0,13,3
5,31,0,1,0,0,1,0,13,3
4,42,0,1,0,0,1,1,5,2
4,45,0,0,1,0,1,0,5,3
7,34,1,1,0,0,1,0,10,3
7,9,1,1,0,0,0,0,13,4
4,3,0,1,0,0,1,1,10,4
2,2,0,1,0,1,1,0,10,3
5,36,1,1,1,0,1,0,10,3
6,27,1,1,0,1,1,0,12,3
10,39,0,1,0,0,1,0,12,4
6,9,0,1,0,0,1,0,16,4
4,47,0,1,0,0,0,0,12,3
13,13,0,1,0,0,1,0,12,3
8,28,0,1,0,0,1,0,10,3
9,26,0,1,0,0,1,0,12,3
6,34,0,1,0,0,1,0,12,2
14,28,0,1,0,0,1,0,12,4
2,17,0,1,0,1,1,0,14,2
16,10,0,1,0,0,1,0,13,2
1,21,0,0,0,0,1,0,10,3
2,15,0,1,0,0,1,0,12,4
2,15,0,1,0,0,1,0,13,4
4,11,0,1,0,0,1,0,12,3
7,37,0,1,0,0,1,0,10,3
8,43,0,1,0,0,1,0,5,3
26,37,0,1,0,0,1,0,12,2
9,24,0,1,0,0,1,0,12,3
3,17,0,1,0,0,1,0,10,3
7,16,0,1,0,0,1,0,12,3
8,36,0,1,0,0,1,0,12,3
26,37,0,1,0,0,1,0,12,3
6,38,0,1,0,0,1,0,8,3
4,9,0,1,0,0,1,0,12,4
3,36,0,1,0,0,1,0,5,4
2,41,0,1,0,1,0,0,5,2
9,10,1,1,0,0,1,0,12,3
3,33,0,1,0,0,1,0,5,3
9,5,0,1,0,1,1,0,14,4
2,1,0,1,0,1,0,1,12,4
6,47,0,0,1,1,1,0,5,4
2,8,0,1,0,0,1,0,12,2
3,6,0,1,0,0,1,1,10,2
2,12,0,1,0,1,1,1,12,3
3,26,0,1,0,1,0,1,5,1
5,14,1,1,0,0,1,0,10,3
3,13,1,1,0,1,0,1,5,3
6,39,1,1,0,0,1,0,5,2
3,10,0,1,0,0,1,1,13,2
7,27,1,0,0,0,1,0,10,3
4,5,0,1,0,0,1,0,13,3
2,6,1,1,0,1,0,0,12,3
3,32,0,0,0,0,1,1,8,3
4,1,1,1,1,0,1,1,8,4
2,8,0,1,0,1,1,0,12,4
3,15,0,1,0,1,1,1,10,4
1,1,0,1,1,0,0,0,12,2
2,25,1,1,0,1,0,0,10,3
3,15,1,1,1,1,1,0,10,3
2,7,0,1,0,1,1,0,12,4
2,1,0,1,0,1,0,0,12,4
3,12,0,1,0,1,1,1,12,3
2,3,0,1,0,1,0,1,10,3
1,2,0,1,1,0,1,0,10,4
2,3,0,1,0,1,1,1,10,3
2,2,0,1,0,1,0,0,12,2
4,16,0,1,0,0,1,0,13,3
1,32,0,1,1,1,0,0,5,1
2,20,0,1,0,1,1,1,10,3
4,17,0,1,0,1,1,1,12,3
3,15,0,1,0,1,0,0,5,3
4,19,0,1,0,1,1,1,8,2
2,37,1,0,0,0,0,0,5,3
2,29,1,1,1,1,0,1,10,3
2,5,0,0,0,1,0,1,13,2
3,7,0,1,0,1,0,0,5,3
2,23,0,1,0,1,0,0,5,2
3,5,0,1,0,1,0,0,12,4
4,29,0,1,0,0,0,1,8,3
2,13,0,1,0,1,0,0,12,3
2,10,0,1,0,1,1,0,12,2
3,12,0,1,0,1,1,0,13,4
5,7,1,1,0,1,1,0,12,3
4,9,0,1,0,1,1,0,12,3
7,4,0,1,0,0,1,0,12,3
4,26,0,1,0,1,0,1,12,3
5,15,0,1,0,0,1,1,17,3
3,19,0,1,0,1,1,0,10,4
4,22,0,0,0,0,1,0,16,3
2,12,0,1,1,1,0,0,5,1
3,11,0,1,0,1,1,0,10,3
3,6,1,1,0,1,1,1,12,3
6,13,0,1,0,0,1,0,14,4
5,8,0,1,0,1,0,1,13,4
4,7,0,1,0,1,0,1,13,3
3,12,0,1,1,1,0,1,10,3
7,11,1,1,0,0,1,0,13,3
6,41,0,1,0,0,1,1,12,2
4,7,1,1,0,1,1,1,12,3
1,9,0,1,0,1,1,1,13,4
3,40,1,1,0,1,0,1,10,3
5,7,0,1,1,1,1,1,14,4
2,9,0,1,0,1,1,1,12,3
2,13,0,1,0,1,0,1,13,4
2,33,0,0,0,1,1,1,13,2
2,17,0,1,0,1,0,1,14,3
2,3,0,1,1,1,0,1,13,2
2,8,0,1,0,1,0,1,16,3
2,3,0,1,0,1,1,1,10,4
3,9,0,1,0,0,0,1,13,3
3,30,0,1,0,1,0,0,10,3
6,5,0,1,0,1,0,1,13,4
5,13,0,1,1,0,1,1,12,3
2,5,0,1,0,1,1,1,12,2
4,9,0,1,0,1,0,1,16,4
2,8,0,1,0,1,0,1,13,3
5,20,0,1,1,1,1,0,10,2
4,3,0,1,0,1,0,1,13,3
2,5,1,1,0,1,0,1,12,5
7,20,1,1,0,1,1,1,13,3
2,2,0,1,0,1,0,1,12,3
5,7,0,1,0,1,0,1,12,3
3,5,0,1,0,0,0,1,13,3
2,46,0,1,0,1,0,1,14,3
5,10,1,1,0,1,1,0,12,3
6,27,0,1,0,0,1,0,12,3
6,39,0,1,1,0,1,0,16,3
4,13,0,1,0,0,1,1,13,4
2,27,0,1,0,0,1,1,12,4
4,7,0,1,0,0,1,1,12,4
2,18,0,1,0,1,0,1,12,3
2,6,0,1,0,1,1,1,12,1
1,11,0,1,0,1,1,1,13,3
2,10,0,1,1,1,1,1,12,2
3,28,0,1,1,1,0,1,13,3
3,2,0,1,0,1,1,1,10,3
2,45,0,1,0,1,0,1,12,3
23,9,0,1,0,0,0,1,10,3
5,13,0,1,0,1,1,1,12,4
3,40,0,1,0,0,0,1,13,3
3,10,0,0,0,1,0,1,12,4
3,15,0,1,0,1,0,1,12,4
3,12,0,1,0,1,1,1,10,3
6,20,0,1,0,1,0,1,17,2
1,8,0,1,0,1,1,1,10,2
1,13,0,1,0,1,1,0,12,4
6,3,0,1,0,1,0,1,12,3
3,7,0,1,0,0,1,0,14,4
8,18,1,1,0,0,1,0,12,4
7,13,0,1,0,0,1,0,12,4
7,36,1,1,0,0,1,0,12,3
2,4,0,1,0,0,0,0,12,3
2,8,0,1,0,1,0,1,10,3
9,24,1,1,0,0,0,1,16,3
5,31,0,1,0,0,1,0,12,2
5,16,0,1,0,0,1,0,13,3
5,10,0,1,0,0,1,0,13,3
5,10,0,1,0,0,1,0,13,4
2,12,0,1,0,0,0,1,12,4
5,20,0,1,0,0,1,0,12,2
4,13,1,1,0,0,1,0,12,3
5,9,1,1,0,0,1,0,13,4
13,15,1,1,0,0,1,0,13,3
7,34,0,1,0,0,1,0,10,3
5,8,1,1,0,0,1,0,14,3
5,3,0,1,0,0,0,0,17,4
11,19,0,1,0,0,0,0,16,4
9,10,1,1,0,0,1,0,13,3
4,13,0,1,0,0,1,0,10,3
7,7,1,1,0,0,0,0,12,3
10,21,1,1,0,0,1,0,16,3
1,10,0,1,0,1,0,1,5,3
2,20,0,1,0,1,1,1,8,3
2,25,0,1,1,1,0,1,12,3
2,4,0,1,0,1,1,1,12,2
3,35,0,1,1,1,0,1,12,3
2,15,0,1,1,1,1,1,10,3
2,24,0,0,0,1,0,1,16,3
